Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,ertert (product.metafields.custom.ertert),Größentabelle (product.metafields.custom.grosentabelle),Material & Pflege (product.metafields.custom.material_pflege),Material & Pflege2 (product.metafields.custom.material_pflege2),Handelsartikelbeschreibung (product.metafields.import_information.trade_item_description),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
unisex-bio-raglan-hoodie,,,,,,,,,XL,,,,,,,,9474400_13727,529.85258720625,shopify,deny,manual,50.00,,true,true,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-eco-raglan-hoodie-black-front-686fa43330334.jpg?v=1752147006,oz,PC040100,39.20,
unisex-bio-raglan-hoodie,,,,,,,,,2XL,,,,,,,,9474400_13728,559.90308171875,shopify,deny,manual,51.50,,true,true,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-eco-raglan-hoodie-black-front-686fa43330334.jpg?v=1752147006,oz,PC040100,40.50,
turmstrasse-zip-hoodie,Turmstraße Zip Hoodie,"<p>Dein Viertel. Dein Statement. Mit dem „Turmstraße“ Zip Hoodie holst du dir ein Stück Moabit direkt in deinen Alltag. Die Berliner Künstlerin Hannah hat mit ihrer handgezeichneten Skizze die urbane Stimmung der Turmstraße eingefangen – minimalistisch, roh und doch detailverliebt.<br><br>Der hochwertige Zip Hoodie in Schwarz kommt mit weichem Innenfutter, praktischen Taschen und einem stabilen Reißverschluss. Auf der Vorderseite findest du das dezente Districtee-Logo in Rosa, während auf dem Rücken das kunstvolle Turmstraße-Motiv für den Eyecatcher sorgt.<br><br><br></p>
<p><strong class=""size-guide-title"">Größentabelle</strong></p>
<div class=""table-responsive dynamic"" data-unit-system=""metric"">
<table cellpadding=""5"">
<tbody>
<tr>
<td> </td>
<td><strong>LÄNGE (cm)</strong></td>
<td><strong>BRUST (cm)</strong></td>
<td><strong>ÄRMELLÄNGE (cm)</strong></td>
</tr>
<tr>
<td><strong>S</strong></td>
<td>68.6</td>
<td>96.5-104.1</td>
<td>85</td>
</tr>
<tr>
<td><strong>M</strong></td>
<td>71.1</td>
<td>106.7-114.3</td>
<td>87.6</td>
</tr>
<tr>
<td><strong>L</strong></td>
<td>73.7</td>
<td>116.8-124.5</td>
<td>90.2</td>
</tr>
<tr>
<td><strong>XL</strong></td>
<td>76.2</td>
<td>127-134.6</td>
<td>92.7</td>
</tr>
</tbody>
</table>
</div>",DSTRCTEE,Uncategorized,"","",true,Farbe,Schwarz,,Größe,S,,,,,4178119_17295,447.922465375,shopify,deny,manual,50.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-heavy-blend-zip-hoodie-black-front-686f7552bc826.jpg?v=1752135003,1,Product mockup,false,,,,,"
• 50 % Baumwolle, 50 % Polyester
• Stoffgewicht: 271 g/m² (8 oz/yd²)
• Garndurchmesser: 20 Fasern
• Weicher Fleecestoff innen und außen
• Luftgesponnene Garne sorgen für geringere Knäuelbildung
• Normale Passform
• Metallreißverschluss
• Vorne mit Kängurutaschen
• Ungefütterte Kapuze mit farblich abgestimmtem Kordelzug
• Doppelnähte an Schultern, Armausschnitten, Kragen, Bund und Ärmelabschlüssen
• Umweltfreundliche Technik: Konform mit ANSI/ISEA 107
• Rohprodukte aus Honduras und El Salvador bezogen

Disclaimer: Aufgrund der Stoffeigenschaften kann die Farbe White eher cremeweiß als strahlend weiß erscheinen.
",,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-heavy-blend-zip-hoodie-black-front-686f7552bc826.jpg?v=1752135003,oz,PC040100,28.20,active
turmstrasse-zip-hoodie,,,,,,,,,Schwarz,,,M,,,,,4178119_17296,453.59237,shopify,deny,manual,50.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-heavy-blend-zip-hoodie-black-back-686f7552bd643.jpg?v=1752135004,2,Product mockup,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-heavy-blend-zip-hoodie-black-front-686f7552bc826.jpg?v=1752135003,oz,PC040100,28.20,
turmstrasse-zip-hoodie,,,,,,,,,Schwarz,,,L,,,,,4178119_17297,490.4467500625,shopify,deny,manual,50.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-heavy-blend-zip-hoodie-white-front-686f7552bd8ed.jpg?v=1752135002,3,Product mockup,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-heavy-blend-zip-hoodie-black-front-686f7552bc826.jpg?v=1752135003,oz,PC040100,28.20,
turmstrasse-zip-hoodie,,,,,,,,,Schwarz,,,XL,,,,,4178119_17298,629.359413375,shopify,deny,manual,50.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-heavy-blend-zip-hoodie-white-back-686f7552bdb8d.jpg?v=1752135003,4,Product mockup,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-heavy-blend-zip-hoodie-black-front-686f7552bc826.jpg?v=1752135003,oz,PC040100,28.20,
turmstrasse-zip-hoodie,,,,,,,,,Weiß,,,S,,,,,4178119_17335,447.922465375,shopify,deny,manual,50.00,,true,true,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-heavy-blend-zip-hoodie-white-front-686f7552bd8ed.jpg?v=1752135002,oz,PC040100,28.20,
turmstrasse-zip-hoodie,,,,,,,,,Weiß,,,M,,,,,4178119_17337,453.59237,shopify,deny,manual,50.00,,true,true,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-heavy-blend-zip-hoodie-white-front-686f7552bd8ed.jpg?v=1752135002,oz,PC040100,28.20,
turmstrasse-zip-hoodie,,,,,,,,,Weiß,,,L,,,,,4178119_17339,490.4467500625,shopify,deny,manual,50.00,,true,true,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-heavy-blend-zip-hoodie-white-front-686f7552bd8ed.jpg?v=1752135002,oz,PC040100,28.20,
turmstrasse-zip-hoodie,,,,,,,,,Weiß,,,XL,,,,,4178119_17341,629.359413375,shopify,deny,manual,50.00,,true,true,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-heavy-blend-zip-hoodie-white-front-686f7552bd8ed.jpg?v=1752135002,oz,PC040100,28.20,
